91823,BIRD 波导 BD717 双卡双待  手机(白),波导（BIRD ）,0,776,179,2.4,其他,
91827,Lenvov 联想 S680 时尚智能双卡双待手机(棕色),联想（Lenovo）,0,1,546,-,-,
91830,三盟 S208 老人手机老人用的手机大字体 大按键 双喇叭,三盟,0,0,275,3.5英寸以下,非智能操作系统,
91832,K-Touch 天语 E310 电信定制 3G 手机,天语（K-Touch ）,0,1,298,-,其他,
91833,三盟 S108 老人用手机 大字 大按键 大屏幕 定位,三盟,0,0,178,3.5英寸以下,非智能操作系统,
91845,K-Touch 天语 W710 3G（GSM/WCDMA）双卡双待手机,天语（K-Touch ）,11,765,599,5.0英寸及以上,Android（安卓）,
91846,ZTE 中兴 V852 3G（GSM/WCDMA）手机 咖啡色 联通定制,中兴（ZTE ）,0,0,429,3.6-4.0英寸,Android（安卓）,
91852,索尼 Xperia ion LT28h 13.2GROM 联通3G手机 4.6英寸,索尼（SONY）,0,0,3099,4.1-4.9英寸,Android（安卓）,
92067,诺基亚（Nokia）5233 GSM手机,诺基亚（Nokia）,0,6,339,-,-,
92085,诺基亚（Nokia）E71 GSM 商务手机,诺基亚（Nokia）,2,16,2258,-,-,
92100,联想（Lenovo）A698t 3G手机TD-SCDMA/GSM,诺和（Novo）,4,75,549,3.5英寸以下,Android（安卓）,
92102,三星 I779 电信3G手机 双模双待 4.0寸屏 CDMA2000/GSM,三星（SAMSUNG）,0,5,679,4.5-3.1英寸,安卓（Android）,
92104,三星 B9120 联通3G,三星（SAMSUNG）,45,1218,5588,3.5英寸以下,Android（安卓）,
92133,中兴（ZTE）U930 3G手机TD-SCDMA/GSM 黑色,中兴（ZTE ）,1,954,368,-,谷歌Android,
92140,Huawei 华为 S8600 3G（GSM+CDMA双网双待）手机 电信合约机,华为（HUAWEI）,0,2,699,3.6-4.0英寸,Android（安卓）,
92172,UMO/优摩 L901 老人手机 大字体 大按键,茉（MO）,0,1,278,3.5英寸以下,其它智能系统,
92179,三星 SCH-F839 电信3G手机CDMA2000/CDMA ,三星（SAMSUNG）,0,12,448,3.6-4.0英寸,Windows Phone,
92181,爱贝多 Q9Ⅱ二代 儿童手机 低辐射GPS定位 男女生中小学生卡通新款,爱贝多,0,0,568,-,-,
92183,摩托罗拉（motorola）XT711 GSM/WCDMA 双原电公开版（锐智金）,摩托罗拉（Motorola）,0,0,548,3.6-4.0英寸,Android（安卓）,
92184,三星 W709 双网双待 电信3G手机 CDMA2000/GSM ,三星（SAMSUNG）,0,3,448,4.1-4.9英寸,非智能操作系统,
92187,Philips/飞利浦 F511 双卡双待 正品行货 直板超薄 ,飞利浦（PHILIPS）,0,0,268,-,-,
92192,三星（SAMSUNG）S5578 3G手机WCDMA/GSM联通定制机				,三星（SAMSUNG）,1,1,289,-,-,
92193,Daxian/大显W111 老人手机正品行货大字大声大屏超长待机老人机,大显（Daxian）,69,13641,188,3.5英寸以下,非智能操作系统,
92194,Huawei/华为 T7320 移动G3手机 支持CMMB手机电视 JAVA QQ ,华为（HUAWEI）,0,0,248,-,-,
92195,中兴 ZTE-U281 时尚直板手机 学生机 老人机  u281,中兴（ZTE ）,0,1,236,-,其他,
92197,SAMSUNG三星E1182 双卡双待 超长待机,三星（SAMSUNG）,0,4,299,-,其他,
92201,RugGear 朗界 RG803 三防手机 GPS定位 多功能传感器 ,网件（NETGEAR）,0,19,1161,2.0英寸,-,
92203,三星 S579 电信3G手机 CDMA2000/CDMA,三星（SAMSUNG）,0,7,298,3.5英寸以下,Android（安卓）,
92204,摩托罗拉（Motorola）ME811 3G手机（黑色）CDMA2000/CDMA 电信定制,摩托罗拉（Motorola）,35,929,999,-,-,
92205,联想 E268 GSM手机 移动定制,联想（Lenovo）,0,79,296,-,-,
92207,Coolpad 酷派 8811 3G（GSM/TD-SCDMA）手机 ,欧欧（OO）,0,4,988,3.6-4.0英寸,Android（安卓）,
92209,Coolpad 酷派 T66 3G（GSM/TD-SCDMA）手机 定制机黑色,欧欧（OO）,0,5,248,-,其他,
92215,诺基亚（NOKIA）5230 3G手机WCDMA/GSM,诺基亚（Nokia）,0,106,288,-,-,
92216,联想（Lenovo）TD80t 3G手机  TD-SCDMA/GSM,诺和（Novo）,0,12,368,3.2,其他,
92220,联想 i380 GSM手机,联想（Lenovo）,0,4,536,-,其他,
92224,联想 A312 双卡双待 GSM手机（珠光粉）,联想（Lenovo）,0,0,398,-,其他,
92234,诺基亚（Nokia）E66 GSM手机,诺基亚（Nokia）,0,1,1518,-,-,
92252,康佳 W373 GSM手机（黑色）双卡双待,康佳（KONKA）,0,0,629,3.5英寸以下,其它智能系统,
92253,华为Ascend G309T（T8830）移动3G手机,华为（HUAWEI）,0,3,548,3.6-4.0英寸,Android（安卓）,
92266,华为（HUAWEI）C8600 3G手机CDMA2000/CDMA 电信定制,华为（HUAWEI）,2,8,346,-,谷歌Android,
92268,华为（HUAWEI）T552 3G手机（白色）TD-SCDMA/GSM,华为（HUAWEI）,0,0,266,3.0,其他,
92269,中兴（ZTE）R750 双模双待3G手机（银色）CDMA2000/GSM 电信定制,中兴（ZTE ）,0,0,398,3.5英寸以下,Android（安卓）,
92271,长虹（ChongHong）008-IIIM汗马升级版（钢琴黑+冠军金）GSM 手机,长虹（CHANGHONG）,0,9,448,3.5英寸以下,其它智能系统,
